ticker,quarter,year,revenue_growth_actual_pct,revenue_surprise_pct,return_30d_pct,guidance_met
TCS.NS,Q1,2024,5.34,-0.67,-5.68,True
TCS.NS,Q2,2024,4.65,2.24,-0.03,False
TCS.NS,Q3,2024,8.23,-0.53,2.58,False
TCS.NS,Q4,2024,7.14,-2.66,-1.72,False
TCS.NS,Q1,2025,6.2,-0.34,7.22,True
TCS.NS,Q2,2025,4.32,-0.98,4.09,False
INFY.NS,Q1,2024,8.54,0.92,-2.57,True
INFY.NS,Q2,2024,1.38,-1.88,7.06,False
INFY.NS,Q3,2024,11.91,-0.11,-10.43,True
INFY.NS,Q4,2024,10.84,-0.09,1.39,True
INFY.NS,Q1,2025,2.89,-2.68,-5.51,False
INFY.NS,Q2,2025,12.86,-1.75,-0.52,False
RELIANCE.NS,Q1,2024,10.29,-1.62,1.67,True
RELIANCE.NS,Q2,2024,6.2,-1.73,-4.13,False
RELIANCE.NS,Q3,2024,7.6,-0.86,-0.56,True
RELIANCE.NS,Q4,2024,11.3,-3.02,-6.69,True
RELIANCE.NS,Q1,2025,9.99,-0.42,2.98,True
RELIANCE.NS,Q2,2025,12.75,-2.66,2.59,False
HDFCBANK.NS,Q1,2024,11.73,-0.66,9.91,False
HDFCBANK.NS,Q2,2024,9.34,-0.5,-0.26,False
HDFCBANK.NS,Q3,2024,5.47,-0.06,5.81,True
HDFCBANK.NS,Q4,2024,13.64,3.96,4.34,True
HDFCBANK.NS,Q1,2025,2.84,2.99,7.76,False
HDFCBANK.NS,Q2,2025,5.08,3.92,1.02,True
TATAMOTORS.NS,Q1,2024,10.82,-4.92,1.22,False
TATAMOTORS.NS,Q2,2024,4.1,-4.95,2.51,False
TATAMOTORS.NS,Q3,2024,3.61,-3.42,-0.63,True
TATAMOTORS.NS,Q4,2024,13.45,5.3,-1.81,True
TATAMOTORS.NS,Q1,2025,4.86,2.59,4.15,True
TATAMOTORS.NS,Q2,2025,10.16,-0.25,1.27,False
